"revision_id","value_id","property_id","change_target"
"285331617","Q136541$5B623EFA-A49B-4C5C-8455-775C0364EEB7",357,""
"285331617","Q136541$0F877656-992E-4CA3-9CE3-D5975EDFEFA3",1476,""
"5816667","q10132$31B979EC-BCBE-43FD-B8AC-939DBA2CE126",27,""
"116174852","Q221057$98AB2EDB-9364-493E-B084-A20E2A9B3A1E",173,""
"116174892","Q221057$11940a1c-46c7-7598-96b3-2005a23e8b2b",31,""
"142413037","Q381418$F71321C1-FD5F-4D6C-BB39-438F74B3856B",1298,""
"142413050","Q381418$0E263E55-3F65-4F4B-9D89-D7F29FE7F996",937,""
"116174892","Q221057$11940a1c-46c7-7598-96b3-2005a23e8b2b",31,""
"5910749","q77$1CB1FFA3-F3D6-4CA9-8AFB-D2FA9ED0AF95",46,""
"5910760","q77$6DEEA34E-705A-49B8-A80C-1E8064679BA2",35,""
"5816029","q16597$DA942C89-67A0-4E41-ABDC-6CD6C4393687",17,""
"5816030","q16597$175FAF73-D67A-4693-9908-9DC82B8C9AD2",27,""
"5816664","q10132$57815A40-8ABF-4C12-82A0-A7C81099EA47",17,""
"7602539","q11959$7D01FBD3-6A94-4B02-B300-43213BA32F3A",32,""
"7602522","q11959$94170C20-3323-4AFF-955F-E5754F507220",131,""
"7602495","q11959$E9759A63-D7B8-4255-A6B3-E6839BAF962F",131,""
"7602507","q11959$71EDF88C-5755-4D29-8B3F-5EC721F3EE58",12,""
"7583406","q235884$1A4B770C-63E8-483F-A5FF-B94A8E78799A",131,""
"7583432","q235884$7C319360-6969-4878-864E-544248D13FF0",11,""
"7583371","q235884$85C41E4F-E7FD-47EC-9E51-738BBAB2911B",131,""
"7583424","q235884$4B7E7BFF-C7EB-46E6-9B42-F7825F7C4E67",33,""
"31281429","q40$784CD01F-2398-4FA1-AF75-9BD30DD7734D",31,""
"31281475","q40$4f8ba17a-49b6-ea86-d183-2d5b5f8787d4",463,""
"46069906","q40$D12C59A3-BBAE-4219-96FE-D544754676FB",46,""
"46069973","q40$3db46b9d-4524-c18b-89f8-c8f792e0a435",6,""
"5826317","q155571$F4BCDE53-F647-47D8-9552-5E2684EAA478",60,""
"5909675","q155571$9733C49B-7B32-410C-B431-CE926CAEBD5C",31,""
"5833722","q76$B7780A59-0C13-4566-A417-B31668F24773",69,""
"5833865","q76$46ED1F0E-8D01-4074-98E6-6618D669A3AE",90,""
"5842362","q10520$8C729951-7404-4033-B139-7C167795FC54",54,""
"5842391","q10520$CCAD46AF-925B-4782-AB1F-8D357008F35C",55,""
"7686023","q54936$8D124BEC-0D68-4DB7-BA2C-81836C91C1E3",32,""
"7686041","q54936$0D74BCD8-0F14-42B1-95DA-2122CBA421AC",131,""
"5987231","q533$99A58201-6A3D-445D-9290-E4E6F2369633",31,""
"5987235","q533$B4F0D8A6-4CF2-455F-B49E-C84226545753",74,""
"6067482","q137854$BA9FD384-7A66-4E98-A18C-1E8487C01430",31,""
"6067490","q137854$48BE442E-AB14-4331-BBCD-EE799F5EB1AA",105,""
"6189277","q7747$0B6C18ED-D36A-406D-AC30-A2AB1D576333",18,""
"6189283","q7747$CFB2C515-6A8A-4168-9FA6-B2241CDC6206",62,""
"6042533","q7259$1EF994ED-8509-49B3-8E16-52CEEB78F00A",31,""
"6771655","q7259$FEE5069C-DF8E-4355-A973-2B0B8BC339A8",107,""
"6113798","q144$5940DEB1-D058-4431-A947-CC092BC0C816",89,""
"6113806","q144$661704F5-EC78-4BA3-94C1-3AB7FFA58D64",31,""
"6389504","q60$F131C437-386F-4257-81D0-DD7D61006E3B",46,""
"6389521","q60$5A16A954-8C0F-4353-A465-A0CFDE18D27A",6,""
"414104455","Q76$81781b7a-47cb-2557-a06e-5dc394ad756e",3373,""
"414104508","Q76$782CB329-14DF-4FD5-9619-80D036EA64EC",7,""
"413777284","Q116058$F11324F1-9AF1-461D-8CF8-5111032DFEB0",9,""
"413765256","Q116058$0E7138F1-E8F6-4802-AA87-D05617236C2D",3373,""
"90867870","Q47566$b85b7047-4412-06e0-af88-3f88c5f0cfcf",279,""
"90867878","q47566$862E121B-97BB-43BD-91F7-2E133AA4ACDB",173,""
"25371992","q801$518CD7BF-969C-4F8C-8F62-2D2E21F133C8",32,""
"25877978","q801$F4B5F05A-8A1B-4BA8-9A08-B4662AEE41AC",421,""
"210376760","Q53592$0CAE9FBF-3EE0-49A4-B567-53E9BC28CA28",1680,""
"210380398","q53592$5ec56387-4136-47fc-de0f-478a8913288a",392,""
"160245030","Q76$b1218293-4701-b6be-0f3e-2b721872ed4f",1477,""
"160245190","q76$ff4cdc89-40cd-975c-7d13-f1032afa7613",513,""
"82612961","Q193735$3c6b0f6a-4270-c0be-6ea1-d1319682bba4",766,""
"82612991","q193735$53687a8a-4560-e33e-03e0-487dfb794413",540,""
"180544607","Q11117$9d02302e-42f3-a384-9e2d-97a41d3e70c6",766,""
"180528322","Q11117$2CBA27F5-FFFA-4E8C-B377-72F67795A18A",276,""
"1107151249","Q83382$1CC7CBB8-3574-40A3-A1C1-9E0B4C1387B0",2079,""
"1107151264","Q83382$5148708f-4611-7e29-a0f7-c0e823255f7d",2157,""
"838942466","Q340350$E518796C-4F1E-48EB-896D-F7CA656932ED",5130,""
"838942466","Q340350$6E9DA54F-B420-4A60-8D77-B88D1964F4C3",706,""
"7611664","q60$D856B9DC-396A-4329-A196-0053F3803B90",131,""
"7611672","q60$D004E58B-933D-4D47-810E-2E088355A7D3",11,""
"7264061","q220$06AE7555-9EED-436B-ADDD-0C1AAF7E626E",12,""
"7264106","q220$718CF014-9A0C-472F-81A4-15848FDC5C97",131,""
"7263597","q647$F827753F-4CF9-4100-87C1-98BBBF1F3FE0",93,""
"7263621","q647$441F47CC-EE7A-4D50-BA2A-54ABD066D96C",131,""
"7582337","q54333$9403CB08-3705-48DF-97EB-E0D009F1900C",131,""
"7582346","q54333$E336C5F4-F9B8-487F-9C09-C9E79CEC100C",33,""
"7504166","q5465$A67F94CF-91FE-44AB-A095-0B81E1E58F56",68,""
"7504196","q5465$71FB37D9-3D1C-46AD-BEC2-51AC1505B3A9",131,""
"629319040","Q33513$BBD3FFFE-DEEE-4CA2-A1AA-749B8D844E20",1269,""
"629319040","Q33513$d1c24fb1-448c-3696-0df4-039b435b87c9",2439,""
"185323889","Q2554$0DC1FF77-429D-4008-A0C9-981DE828EB45",176,""
"185323895","q2554$e6ff2847-4db1-44e2-1246-3431865b48f9",198,""
"332854556","Q156203$E1B102F7-EE5F-485B-BF48-72E495E7D679",357,""
"332854709","Q156203$63878dad-421d-bcb5-b722-df508e627320",1476,""
"166606873","Q116171$d957b088-4190-4f08-c8a1-a4667deaeeb9",1476,""
"166606917","Q116171$bab545f1-4505-611a-492e-23ecc6a7cee9",357,""
"210682505","Q149936$f4b3b0f1-45c4-f882-20d6-b6db9fa81a6d",1680,""
"210682513","Q149936$3e4d7cbb-4deb-0314-b503-8a1be1f38288",392,""
"195309039","Q104678$eb3a28b2-41a2-15bc-7ebc-89068d3ab329",1683,""
"195309277","Q104678$a56b6519-46b9-08c8-e9c8-0f3a1c290ec8",387,""
"267451760","Q29530$589c98d8-430d-07c6-b37f-edd1be11cf99",1684,""
"267451805","Q29530$4e5e3484-4c89-d1de-bae2-0b0185b7f0c9",438,""
"291240486","Q185372$62ecb03b-4779-b1cc-aba9-c57a66a50fd4",438,""
"291240486","Q185372$DF0D4B68-B356-40C4-9438-43190DE68754",1684,""
"71747047","Q114295$47b26217-448d-9e63-d67d-efc37ed57746",793,""
"71747056","q114295$0ee02d38-4fc8-88c0-cca7-59c5877ea941",719,""
"851046863","Q49087$537A5882-B751-44CB-9AA8-23EC8BBAAC92",969,""
"851046863","Q49087$41A4CADA-6E54-4356-8E54-F02FD4713E85",6375,""
"851051313","Q64819$e745a7fb-5425-4a96-9c85-390bdfad20c6",969,""
"851051313","Q64819$92EAEDA4-03A8-4E0F-8FAE-7B8536FE73DA",6375,""
"851056199","Q117251$B793267D-C5E1-4862-9F39-4FE52D0F02C9",969,""
"851056199","Q117251$2449D847-9E26-4349-AE3B-043852E0F062",6375,""
"726746578","Q297$B0C66303-402B-4A7C-AF35-503A76AC7418",1962,""
"726746542","Q297$CE87EE95-C0E6-4D14-8411-9D927C50A299",859,""
"726745146","Q41513$F00664BA-F548-4275-AB5F-7952B1B9B806",859,""
"726745137","Q41513$6cb3b798-4ed4-5f13-7780-0f537ab6e74e",1962,""
"726744012","Q183458$D4CF6DEA-BF2F-4A58-8B3F-26738B4B72D3",859,""
"726744029","Q183458$1A42678D-E96F-4DE3-A878-624B941D06E1",1962,""
"726745396","Q41264$F9A03A5F-A749-4992-B474-DE8CD7D764FE",859,""
"726745411","Q41264$A82FCD37-116C-4BE6-AD13-B205491D372B",1962,""
"427712500","Q16597$d8269203-4c33-8355-e03a-781f2996f0d9",3448,""
"427712453","q16597$730d49af-430b-d427-f299-8ec279ccefa9",43,""
"427310374","Q390581$d0ab7a47-405b-5efe-7733-5e224ac3560f",3448,""
"427310326","q390581$0d344052-4c09-532b-5fcd-3e36b4fe4751",43,""
"227206500","Q158023$8db15248-4021-47b4-8d82-0c195ea7c855",1476,""
"227206531","Q158023$8cfc9f60-40ab-e67d-27b1-e70c996f5b74",357,""
"42278903","q4536$d3e76dea-4877-07b0-684a-673a3ae5862c",161,""
"42278924","q4536$a54de49d-4add-9e19-234e-3e899141f84c",482,""
"710948449","Q305896$6cab8b83-4869-1338-ca70-72191cab816d",5061,""
"710948397","Q305896$17e2b642-4b7c-4ce8-7c68-602e3d13e8ae",558,""
"86448874","Q4027$62903295-49c3-0804-1dac-875d16d05f93",463,""
"86448927","q4027$d5a46a94-421b-25dc-bbd1-67c606bf2403",160,""
"86449209","q8442$9320E2F2-D0BE-4C9C-9911-9EA3338D45AE",160,""
"86449185","Q8442$6aff2a0a-4f4c-088d-8c55-09d8a9d71b17",463,""
"10273416","q8988$402C1C65-08B2-4FDF-90D4-0561D0B1BCA1",127,""
"10273401","q8988$F31276C0-DC03-4B9D-B37C-4D24D6D03268",165,""
"10275592","q181912$4E7A8A0C-9AFD-4EC8-8172-7B83D68D64B2",127,""
"10275569","q181912$C444220E-F235-4117-8833-E8D775D8470B",165,""
"10466561","q321007$6000F955-D3A0-47FD-9080-925FF877BE82",127,""
"10466611","q321007$46D12A13-FD49-42C2-A0F3-51886EB68742",165,""
"10466621","q321007$77643A27-F358-4ACE-B726-BA6B0EB2097E",165,""
"10466594","q321007$72E7E2BD-6567-4623-A3C4-332E47810D93",127,""
"209977696","q123855$d504bcc1-42aa-b3ca-63ec-d67ae863646c",743,""
"209977696","Q123855$BE707AAB-BE08-467C-8540-4B506C9AF9EE",1813,""
"209978783","Q475909$4E90FC43-350E-4C23-BA87-CC0EE994010E",743,""
"209978783","Q475909$D04F17C1-06C7-4CDC-B5E5-8C8023CC112C",1813,""
"209977512","q37462$89942c94-4835-722f-0c28-90baef7f428b",743,""
"209977512","Q37462$948F55E2-960F-462F-BBCD-C237FD2BBE40",1813,""
"210184290","Q121982$390A1A5A-B238-4326-80FA-C5A503C30D6E",1813,""
"210185459","Q121982$B4C7312F-AFA3-43BB-800B-146C35869A62",743,""
"210395189","Q454831$9E1F06A8-7207-4DBB-8B6B-FAD4A764EC4A",1680,""
"210400722","Q454831$aed04652-458f-dcf1-5780-9975bb00a6c9",392,""
"210400703","Q454831$da032554-422c-1798-4d90-d595bc25724c",1680,""
"210400739","Q454831$cfaf7ce6-4d5d-4b10-2741-6f2e2ed9f426",392,""
"180528105","Q8544$6A01EA03-2932-439D-AB11-C6EF4989B922",276,""
"180530476","Q8544$cc386016-45b2-2e07-3297-7aa1ee9154d2",766,""
"180530407","Q8138$447d61ee-49e7-7d86-7ecb-04fd684dae4e",766,""
"180528050","Q8138$DAC054D0-2117-4F64-B63B-1BE724FE21BB",276,""
"190734855","Q23180$52b6031d-4971-83a0-86d6-e269ce7ff610",1134,""
"190734898","Q23180$2d0943e5-4a67-3bb8-287d-9c245b288c33",276,""
"212700387","Q116603$94A3F53D-F99A-4699-A061-FB0308D2AB32",276,""
"212700387","Q116603$96de5c11-4fd8-bb31-fad0-0a281a20aa53",1134,""
"212700431","Q138760$46ADB852-2EEF-4070-9386-62C9F7294DD9",1134,""
"212700431","Q138760$78F24304-4F71-45E9-9B7F-9391D92AA39F",276,""
"97804076","q148880$D26F35D4-2071-43AF-9D05-AA99518D992B",74,""
"97804116","Q148880$0a25b9f8-4f01-60de-ec5e-c5ecb8a0bf2c",171,""
"122488082","Q129518$74CB79A3-39E8-4779-A08A-42EFAE4CEEE4",74,""
"116768199","Q129518$EC5E493D-B047-46AB-83E3-141C0EB104AD",171,""
"7594490","q246$80451DCF-3E0D-4B32-B67A-0C61E212F305",131,""
"7594496","q246$28DC5B4B-8F15-4079-88FA-DD0CE97856B4",83,""
"7595465","q169598$CB0D98F7-E6EB-4739-B80E-107F37836C77",131,""
"7595470","q169598$C240BC4D-FC14-4BC1-95BC-C13EC31BF4F7",83,""
"7595491","q204181$6C377EEC-5258-42D9-89AC-05A14EB37C78",131,""
"7595499","q204181$4AF5D908-41BA-4F6F-93B6-A6FE3516D4B1",83,""
"7280671","q273626$7F380CB1-FB66-4DB0-A69D-A2FE1A90B7E7",131,""
"7280644","q273626$6AA67C77-DEEB-483F-A024-71B2F2EDF488",83,""
"93951470","Q174009$61DE8DB2-27ED-4309-9C45-EC7DCA653143",463,""
"93966906","Q174009$b20a14fc-456a-9868-a0d4-5b28ee677b2a",160,""
"86449444","Q10176$bb2e502b-4c27-defc-e40e-8b100834a557",463,""
"86449431","q10176$2b8ac672-4762-011e-cff4-c8152a86ab8e",160,""
"92499293","Q15570$ba70b1b4-41f0-2567-c5af-bac09c5dd654",463,""
"92499286","q15570$6571cc0d-412a-dc62-776e-433752c50e1b",160,""
"116174892","Q221057$11940a1c-46c7-7598-96b3-2005a23e8b2b",31,""
"142682822","Q334647$1d9fb768-4ccd-f37e-e98f-64b22d588ebb",173,""
"142682854","Q334647$A3B77F4E-3E84-41EE-B501-312AE7346A8D",31,""
"116175302","Q276667$b4bc1b3a-4402-6a78-65ae-ca504caf4856",173,""
"116175288","Q276667$fd788541-49bb-baf3-2938-11ead89384a2",31,""
"142682737","Q334745$dadcb2fd-49c6-f1ae-c3a0-1b0841847243",173,""
"142682764","Q334745$C2516224-CE58-4116-A249-F359B2232C19",31,""
"42278903","q4536$d3e76dea-4877-07b0-684a-673a3ae5862c",161,""
"42278924","q4536$a54de49d-4add-9e19-234e-3e899141f84c",482,""
"142669647","Q219630$dec96672-4ad5-f7e0-3c32-f20ff177c294",1298,""
"142669620","Q219630$2c8f1231-43cb-230a-e253-b9924e3fbe7a",937,""
"142412993","Q372097$B0B6B0AD-A918-4FA5-A1DE-07442FBF9DCD",1298,""
"142413016","Q372097$53FF761D-5087-4BDF-9662-11A2CFA54F59",937,""
"1676157850","Q32883$DBE0CE6A-5648-45B9-9D2F-25565C289260",10752,""
"1676157850","Q32883$aacaae2a-7c16-4560-8a9e-cec2cbda9e9e",2215,""
"1676157850","Q32883$700F6183-2843-42EF-A99C-13B72BF54905",10751,""
"1676157850","Q32883$543524f0-cae2-4d25-ba47-f021275a4b0a",2215,""
"1676171539","Q302799$8d9b7708-7b93-4512-9c95-09a1951fc837",2215,""
"1676171539","Q302799$4EB209A9-9DB1-409B-920B-56986898319C",10751,""
"1676171539","Q302799$71C06112-C5F6-4A3B-AAE2-EA6CE4AD0E6E",10752,""
"1676171539","Q302799$78d40b4e-2910-48f5-becf-035624f9acb2",2215,""
"5842185","q615$1C2ACC11-5029-49B2-815A-1B64CFEAE433",54,""
"5842243","q615$52466C7B-8B92-4FA9-88B3-148B440CB73E",55,""
"5842197","q615$DBB4FAC7-2683-4289-AA35-762A57426902",54,""
"5842248","q615$8C3C16B9-0D4D-44E0-B75F-936399B8D355",55,""
"5842252","q615$CBEF3E53-4B5B-4159-886A-63393CA4243F",55,""
"5842236","q615$F78A4F6A-0C54-4465-8E26-FC54070662F6",54,""
