"pair_id","revision_id","entity_id","entity_label","value_id","property_id","change_target","property_label","old_value","old_value_label","new_value","new_value_label","datatype","action","target","comment","timestamp","label","username"
1,"212700431","138760","10 Upper Bank Street","Q138760$78F24304-4F71-45E9-9B7F-9391D92AA39F","276","","location","{}",NULL,"""Q124377""","Canary Wharf","wikibase-entityid","CREATE","PROPERTY","/* wbeditentity-update:0| */ move claim [[Property:P1134]] -> [[Property:P276]]","2015-04-25 06:23:38+00","property_replacement","PLbot"
1,"212700431","138760","10 Upper Bank Street","Q138760$46ADB852-2EEF-4070-9386-62C9F7294DD9","1134","","located in place","""Q124377""","Canary Wharf","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */ move claim [[Property:P1134]] -> [[Property:P276]]","2015-04-25 06:23:38+00","property_replacement","PLbot"
2,"180530407","8138","1928 Summer Olympics","Q8138$447d61ee-49e7-7d86-7ecb-04fd684dae4e","766","","event location","""Q503319""","Olympic Stadium in Amsterdam","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P766]]: [[Q503319]]","2014-12-12 19:36:58+00","property_replacement","Dexbot"
2,"180528050","8138","1928 Summer Olympics","Q8138$DAC054D0-2117-4F64-B63B-1BE724FE21BB","276","","location","{}","","""Q503319""","Olympic Stadium in Amsterdam","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P276]]: [[Q503319]]","2014-12-12 19:25:38+00","property_replacement","Dexbot"
3,"116175302","276667","1956 South Korean presidential election","Q276667$b4bc1b3a-4402-6a78-65ae-ca504caf4856","173","","type of election","""Q1196727""","direct election","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","/* wbremoveclaims-remove:1| */ [[Property:P173]]: [[Q1196727]]","2014-03-14 12:45:08+00","non_property_replacement","Jakec"
3,"116175288","276667","1956 South Korean presidential election","Q276667$fd788541-49bb-baf3-2938-11ead89384a2","31","","instance of","{}","","""Q858439""","presidential election","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbsetclaim-create:1||1 */ [[Property:P31]]: [[Q858439]]","2014-03-14 12:45:04+00","non_property_replacement","Jakec"
4,"142682854","334647","1981 South Korean presidential election","Q334647$A3B77F4E-3E84-41EE-B501-312AE7346A8D","31","","instance of","{}","","""Q877353""","indirect election","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbcreateclaim-create:1| */ [[Property:P31]]: [[Q877353]]","2014-07-05 20:18:06+00","property_replacement","Pasleim"
4,"142682822","334647","1981 South Korean presidential election","Q334647$1d9fb768-4ccd-f37e-e98f-64b22d588ebb","173","","type of election","""Q877353""","indirect election","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P173]]: [[Q877353]]","2014-07-05 20:17:54+00","property_replacement","Pasleim"
5,"142682764","334745","1987 South Korean presidential election","Q334745$C2516224-CE58-4116-A249-F359B2232C19","31","","instance of","{}","","""Q1196727""","direct election","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbcreateclaim-create:1| */ [[Property:P31]]: [[Q1196727]]","2014-07-05 20:17:29+00","property_replacement","Pasleim"
5,"142682737","334745","1987 South Korean presidential election","Q334745$dadcb2fd-49c6-f1ae-c3a0-1b0841847243","173","","type of election","""Q1196727""","direct election","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P173]]: [[Q1196727]]","2014-07-05 20:17:18+00","property_replacement","Pasleim"
6,"180528105","8544","2000 Summer Olympics","Q8544$6A01EA03-2932-439D-AB11-C6EF4989B922","276","","location","{}","","""Q295886""","Accor Stadium","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P276]]: [[Q295886]]","2014-12-12 19:25:53+00","property_replacement","Dexbot"
6,"180530476","8544","2000 Summer Olympics","Q8544$cc386016-45b2-2e07-3297-7aa1ee9154d2","766","","event location","""Q295886""","Accor Stadium","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P766]]: [[Q295886]]","2014-12-12 19:37:11+00","property_replacement","Dexbot"
7,"116174852","221057","2006 Finnish presidential election","Q221057$98AB2EDB-9364-493E-B084-A20E2A9B3A1E","173","","type of election","""Q858439""","presidential election","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P173]]: [[Q858439]]","2014-03-14 12:41:58+00","property_replacement","Jakec"
7,"116174892","221057","2006 Finnish presidential election","Q221057$11940a1c-46c7-7598-96b3-2005a23e8b2b","31","","instance of","{}","","""Q858439""","presidential election","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:1||1 */ [[Property:P31]]: [[Q858439]]","2014-03-14 12:42:13+00","property_replacement","Jakec"
8,"5909675","155571","(5611) 1943 DL","q155571$9733C49B-7B32-410C-B431-CE926CAEBD5C","31","","instance of","{}","","""Q3863""","asteroid","wikibase-entityid","CREATE","PROPERTY","","2013-02-06 16:25:22+00","property_replacement","Art-top"
8,"5826317","155571","(5611) 1943 DL","q155571$F4BCDE53-F647-47D8-9552-5E2684EAA478","60","","astronomical object","""Q3863""","asteroid","{}","","","DELETE","PROPERTY","","2013-02-05 18:52:46+00","property_replacement","Stryn"
9,"6042533","7259","Ada Lovelace","q7259$1EF994ED-8509-49B3-8E16-52CEEB78F00A","31","","instance of","""Q215627""","person","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","","2013-02-08 12:08:53+00","property_replacement",""
9,"6771655","7259","Ada Lovelace","q7259$FEE5069C-DF8E-4355-A973-2B0B8BC339A8","107","","Main type of item (entity)","{}","","""Q215627""","person","wikibase-entityid","CREATE","PROPERTY","","2013-02-17 11:01:36+00","property_replacement","Jon Harald Søby"
10,"7602495","11959","Alicante","q11959$E9759A63-D7B8-4255-A6B3-E6839BAF962F","131","","located in the administrative territorial entity","{}","","""Q54936""","Province of Alicante","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-24 16:09:16+00","non_property_replacement","Magnus Manske"
10,"7602539","11959","Alicante","q11959$7D01FBD3-6A94-4B02-B300-43213BA32F3A","32","","region","""Q5720""","Valencian Community","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-24 16:09:25+00","non_property_replacement","Magnus Manske"
11,"7602507","11959","Alicante","q11959$71EDF88C-5755-4D29-8B3F-5EC721F3EE58","12","","province","""Q54936""","Province of Alicante","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-24 16:09:19+00","property_replacement","Magnus Manske"
11,"7602522","11959","Alicante","q11959$94170C20-3323-4AFF-955F-E5754F507220","131","","located in the administrative territorial entity","{}","","""Q5720""","Valencian Community","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbcreateclaim:1 */ p131","2013-02-24 16:09:22+00","property_replacement","Magnus Manske"
12,"209977696","123855","Älvdalen Municipality","q123855$d504bcc1-42aa-b3ca-63ec-d67ae863646c","743","","short name","""Älvdalen""","","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */ Bot: Replace short name with [[Property:P1813]]","2015-04-11 05:40:07+00","property_replacement","JWbot"
12,"209977696","123855","Älvdalen Municipality","Q123855$BE707AAB-BE08-467C-8540-4B506C9AF9EE","1813","","short name","{}","","""Älvdalen""","","monolingualtext","CREATE","PROPERTY","/* wbeditentity-update:0| */ Bot: Replace short name with [[Property:P1813]]","2015-04-11 05:40:07+00","property_replacement","JWbot"
13,"726744029","183458","Andrea del Verrocchio","Q183458$1A42678D-E96F-4DE3-A878-624B941D06E1","1962","","patron","""Q170022""","House of Medici","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P1962]]: [[Q170022]], перемещено в / moved to [[Property:P859]], см. / see [[Template:Autofix|autofix]] на / on [[Property talk:P1962]]","2018-08-16 00:19:05+00","property_replacement","KrBot"
13,"726744012","183458","Andrea del Verrocchio","Q183458$D4CF6DEA-BF2F-4A58-8B3F-26738B4B72D3","859","","sponsor","{}","","""Q170022""","House of Medici","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P859]]: [[Q170022]]","2018-08-16 00:19:02+00","property_replacement","KrBot"
14,"142669620","219630","Arkadź Smolič","Q219630$2c8f1231-43cb-230a-e253-b9924e3fbe7a","937","","work location","{}","","""Q3917343""","Belarusian Gymnasium of Vilnia","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbsetclaim-create:2||1 */ [[Property:P937]]: [[Q3917343]]","2014-07-05 18:45:12+00","property_replacement","Pasleim"
14,"142669647","219630","Arkadź Smolič","Q219630$dec96672-4ad5-f7e0-3c32-f20ff177c294","1298","","workplace","""Q3917343""","Belarusian Gymnasium of Vilnia","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P1298]]: [[Q3917343]]","2014-07-05 18:45:22+00","property_replacement","Pasleim"
15,"210184290","121982","Astute-class submarine","Q121982$390A1A5A-B238-4326-80FA-C5A503C30D6E","1813","","short name","{}","","""Astute""","","monolingualtext","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P1813]]: Astute","2015-04-11 19:54:29+00","property_replacement","Laddo"
15,"210185459","121982","Astute-class submarine","Q121982$B4C7312F-AFA3-43BB-800B-146C35869A62","743","","short name","""Astute""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P743]]: Astute","2015-04-11 19:59:51+00","property_replacement","Laddo"
16,"142413050","381418","Augustinas Voldemaras","Q381418$0E263E55-3F65-4F4B-9D89-D7F29FE7F996","937","","work location","{}","","""Q2031051""","Perm State University","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P937]]: [[Q2031051]]","2014-07-04 04:28:38+00","property_replacement","Pasleim"
16,"142413037","381418","Augustinas Voldemaras","Q381418$F71321C1-FD5F-4D6C-BB39-438F74B3856B","1298","","workplace","""Q2031051""","Perm State University","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P1298]]: [[Q2031051]]","2014-07-04 04:28:26+00","property_replacement","Pasleim"
17,"46069906","40","Austria","q40$D12C59A3-BBAE-4219-96FE-D544754676FB","46","","head of national government","""Q53282""","Werner Faymann","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1||1 */ [[Property:P46]]: [[Q53282]]","2013-05-24 19:17:18+00","property_replacement","Sven Manguard"
18,"31281429","40","Austria","q40$784CD01F-2398-4FA1-AF75-9BD30DD7734D","31","","instance of","""Q185441""","member state of the European Union","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","/* wbremoveclaims-remove:1||1 */ [[Property:P31]]: [[Q185441]]","2013-04-26 12:03:40+00","property_replacement","Zolo"
18,"31281475","40","Austria","q40$4f8ba17a-49b6-ea86-d183-2d5b5f8787d4","463","","member of","{}","","""Q458""","European Union","wikibase-entityid","CREATE","PROPERTY","","2013-04-26 12:04:18+00","property_replacement","Zolo"
17,"46069973","40","Austria","q40$3db46b9d-4524-c18b-89f8-c8f792e0a435","6","","head of government","{}","","""Q53282""","Werner Faymann","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:1||1 */ [[Property:P6]]: [[Q53282]]","2013-05-24 19:17:29+00","property_replacement","Sven Manguard"
19,"7582337","54333","Bad Aibling Station","q54333$9403CB08-3705-48DF-97EB-E0D009F1900C","131","","located in the administrative territorial entity","{}","","""Q5758""","Bad Aibling","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-24 13:00:59+00","property_replacement","Magnus Manske"
19,"7582346","54333","Bad Aibling Station","q54333$E336C5F4-F9B8-487F-9C09-C9E79CEC100C","33","","settlement","""Q5758""","Bad Aibling","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-24 13:01:04+00","property_replacement","Magnus Manske"
20,"414104455","76","Barack Obama","Q76$81781b7a-47cb-2557-a06e-5dc394ad756e","3373","","sibling","{}","","""Q20895102""","Malik Obama","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbsetclaim-create:2||1 */ [[Property:P3373]]: [[Q20895102]]","2016-12-05 18:06:54+00","property_replacement","Robin van der Vliet"
20,"414104508","76","Barack Obama","Q76$782CB329-14DF-4FD5-9619-80D036EA64EC","7","","brother","""Q15982167""","Malik Obama","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","/* wbremoveclaims-remove:1| */ [[Property:P7]]: [[Q15982167]]","2016-12-05 18:07:13+00","property_replacement","Robin van der Vliet"
21,"5833865","76","Barack Obama","q76$46ED1F0E-8D01-4074-98E6-6618D669A3AE","90","","high school","""Q49088""","Columbia University","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","","2013-02-05 21:16:52+00","property_replacement","Jdforrester"
21,"5833722","76","Barack Obama","q76$B7780A59-0C13-4566-A417-B31668F24773","69","","educated at","{}","","""Q49088""","Columbia University","wikibase-entityid","CREATE","PROPERTY_VALUE","","2013-02-05 21:15:49+00","property_replacement","Jdforrester"
22,"160245030","76","Barack Obama","Q76$b1218293-4701-b6be-0f3e-2b721872ed4f","1477","","birth name","{}","","""Barack Hussein Obama II""","","monolingualtext","CREATE","PROPERTY","/* wbsetclaim-create:2||1 */ [[Property:P1477]]: Barack Hussein Obama II","2014-09-28 09:44:59+00","property_replacement","DGtal"
22,"160245190","76","Barack Obama","q76$ff4cdc89-40cd-975c-7d13-f1032afa7613","513","","birth name","""Barack Hussein Obama II""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P513]]: Barack Hussein Obama II","2014-09-28 09:45:55+00","property_replacement","DGtal"
23,"5987231","533","Betta channoides","q533$99A58201-6A3D-445D-9290-E4E6F2369633","31","","instance of","""Q4164940""","Betta","{}","","","DELETE","PROPERTY","","2013-02-07 19:36:14+00","property_replacement","Soulkeeper"
23,"5987235","533","Betta channoides","q533$B4F0D8A6-4CF2-455F-B49E-C84226545753","74","","genus","{}","","""Q4164940""","Betta","wikibase-entityid","CREATE","PROPERTY","","2013-02-07 19:36:19+00","property_replacement","Soulkeeper"
24,"332854709","156203","Bild","Q156203$63878dad-421d-bcb5-b722-df508e627320","1476","","title","{}","","""Bild""","","monolingualtext","CREATE","PROPERTY","/* wbsetclaim-create:2||1 */ [[Property:P1476]]: Bild","2016-05-06 20:49:19+00","property_replacement","Srittau"
24,"332854556","156203","Bild","Q156203$E1B102F7-EE5F-485B-BF48-72E495E7D679","357","","title","""Bild""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P357]]: Bild","2016-05-06 20:49:04+00","property_replacement","Srittau"
25,"195309277","104678","Bodo Ramelow","Q104678$a56b6519-46b9-08c8-e9c8-0f3a1c290ec8","387","","quote","""Der Fall des Abgeordneten Ramelow ist ein Lehrstück über das Missverhältnis von Opposition und Geheimdienst.""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P387]]: Der Fall des Abgeordneten Ramelow ist ein Lehrstück über das Missverhältnis von Opposition und Geheimdienst.","2015-02-10 13:14:08+00","property_replacement","Rippitippi"
25,"195309039","104678","Bodo Ramelow","Q104678$eb3a28b2-41a2-15bc-7ebc-89068d3ab329","1683","","quotation","{}","","""Der Fall des Abgeordneten Ramelow ist ein Lehrstück über das Missverhältnis von Opposition und Geheimdienst.""","","monolingualtext","CREATE","PROPERTY","/* wbsetclaim-create:2||1 */ [[Property:P1683]]: Der Fall des Abgeordneten Ramelow ist ein Lehrstück über das Missverhältnis von Opposition und Geheimdienst.","2015-02-10 13:13:06+00","property_replacement","Rippitippi"
26,"7504196","5465","Cape Town","q5465$71FB37D9-3D1C-46AD-BEC2-51AC1505B3A9","131","","located in the administrative territorial entity","{}","","""Q1185115""","City of Cape Town","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-23 21:48:30+00","property_replacement","ValterVB"
26,"7504166","5465","Cape Town","q5465$A67F94CF-91FE-44AB-A095-0B81E1E58F56","68","","Municipality","""Q1185115""","City of Cape Town","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-23 21:48:12+00","property_replacement","ValterVB"
27,"851051313","64819","Caserne Charras","Q64819$e745a7fb-5425-4a96-9c85-390bdfad20c6","969","","street address","""140 boulevard Saint-Denis""","","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */","2019-02-05 00:06:31+00","property_replacement","Fralambert"
27,"851051313","64819","Caserne Charras","Q64819$92EAEDA4-03A8-4E0F-8FAE-7B8536FE73DA","6375","","street address","{}","","""140 boulevard Saint-Denis""","","monolingualtext","CREATE","PROPERTY","/* wbeditentity-update:0| */","2019-02-05 00:06:31+00","property_replacement","Fralambert"
28,"7583371","235884","Chhatrapati Shivaji Maharaj Terminus","q235884$85C41E4F-E7FD-47EC-9E51-738BBAB2911B","131","","located in the administrative territorial entity","{}","","""Q1156""","Mumbai","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-24 13:11:32+00","property_replacement","Magnus Manske"
28,"7583424","235884","Chhatrapati Shivaji Maharaj Terminus","q235884$4B7E7BFF-C7EB-46E6-9B42-F7825F7C4E67","33","","settlement","""Q1156""","Mumbai","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-24 13:12:10+00","property_replacement","Magnus Manske"
29,"7583432","235884","Chhatrapati Shivaji Maharaj Terminus","q235884$7C319360-6969-4878-864E-544248D13FF0","11","","state","""Q1191""","Maharashtra","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-24 13:12:14+00","property_replacement","Magnus Manske"
29,"7583406","235884","Chhatrapati Shivaji Maharaj Terminus","q235884$1A4B770C-63E8-483F-A5FF-B94A8E78799A","131","","located in the administrative territorial entity","{}","","""Q1191""","Maharashtra","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbcreateclaim:1 */ p131","2013-02-24 13:11:59+00","property_replacement","Magnus Manske"
30,"6067482","137854","Corydoras semiaquilus","q137854$BA9FD384-7A66-4E98-A18C-1E8487C01430","31","","instance of","""Q7432""","species","{}","","","DELETE","PROPERTY","","2013-02-08 18:59:32+00","property_replacement","Soulkeeper"
30,"6067490","137854","Corydoras semiaquilus","q137854$48BE442E-AB14-4331-BBCD-EE799F5EB1AA","105","","taxon rank","{}","","""Q7432""","species","wikibase-entityid","CREATE","PROPERTY","","2013-02-08 18:59:38+00","property_replacement","Soulkeeper"
31,"5842391","10520","David Beckham","q10520$CCAD46AF-925B-4782-AB1F-8D357008F35C","55","","Former member of sports team","""Q18656""","Manchester United F.C.","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","","2013-02-05 22:41:22+00","property_replacement","Jdforrester"
31,"5842362","10520","David Beckham","q10520$8C729951-7404-4033-B139-7C167795FC54","54","","member of sports team","{}","","""Q18656""","Manchester United F.C.","wikibase-entityid","CREATE","PROPERTY_VALUE","","2013-02-05 22:41:07+00","property_replacement","Jdforrester"
32,"726746542","297","Diego Velázquez","Q297$CE87EE95-C0E6-4D14-8411-9D927C50A299","859","","sponsor","{}","","""Q691402""","Philip IV of Spain","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P859]]: [[Q691402]]","2018-08-16 00:25:16+00","property_replacement","KrBot"
32,"726746578","297","Diego Velázquez","Q297$B0C66303-402B-4A7C-AF35-503A76AC7418","1962","","patron","""Q691402""","Philip IV of Spain","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P1962]]: [[Q691402]], перемещено в / moved to [[Property:P859]], см. / see [[Template:Autofix|autofix]] на / on [[Property talk:P1962]]","2018-08-16 00:25:20+00","property_replacement","KrBot"
33,"6113798","144","dog","q144$5940DEB1-D058-4431-A947-CC092BC0C816","89","","species","{}","","""Q18498""","Canis lupus","wikibase-entityid","CREATE","PROPERTY_VALUE","","2013-02-09 09:48:29+00","property_replacement","Soulkeeper"
33,"6113806","144","dog","q144$661704F5-EC78-4BA3-94C1-3AB7FFA58D64","31","","instance of","""Q18498""","Canis lupus","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","","2013-02-09 09:48:35+00","property_replacement","Soulkeeper"
34,"710948449","305896","dots per inch","Q305896$6cab8b83-4869-1338-ca70-72191cab816d","5061","","unit symbol","{}","","""DPI""","","monolingualtext","CREATE","PROPERTY","/* wbsetclaim-create:2||1 */ [[Property:P5061]]: DPI","2018-07-15 00:50:34+00","property_replacement","Dhx1"
34,"710948397","305896","dots per inch","Q305896$17e2b642-4b7c-4ce8-7c68-602e3d13e8ae","558","","unit symbol","""DPI""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P558]]: DPI","2018-07-15 00:50:25+00","property_replacement","Dhx1"
35,"7280671","273626","École polytechnique","q273626$7F380CB1-FB66-4DB0-A69D-A2FE1A90B7E7","131","","located in the administrative territorial entity","{}","","""Q205580""","Palaiseau","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-21 19:23:24+00","property_replacement","Eric-92"
35,"7280644","273626","École polytechnique","q273626$6AA67C77-DEEB-483F-A024-71B2F2EDF488","83","","city","""Q205580""","Palaiseau","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-21 19:23:04+00","property_replacement","Eric-92"
36,"209978783","475909","Ersatz Yorck-class battlecruiser","Q475909$4E90FC43-350E-4C23-BA87-CC0EE994010E","743","","short name","""Ersatz Yorck""","","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */ Bot: Replace short name with [[Property:P1813]]","2015-04-11 05:44:25+00","property_replacement","JWbot"
36,"209978783","475909","Ersatz Yorck-class battlecruiser","Q475909$D04F17C1-06C7-4CDC-B5E5-8C8023CC112C","1813","","short name","{}","","""Ersatz Yorck""","","monolingualtext","CREATE","PROPERTY","/* wbeditentity-update:0| */ Bot: Replace short name with [[Property:P1813]]","2015-04-11 05:44:25+00","property_replacement","JWbot"
37,"180544607","11117","Eurovision Song Contest 1999","Q11117$9d02302e-42f3-a384-9e2d-97a41d3e70c6","766","","event location","""Q33224""","International Convention Center","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P766]]: [[Q33224]]","2014-12-12 20:48:50+00","property_replacement","Dexbot"
37,"180528322","11117","Eurovision Song Contest 1999","Q11117$2CBA27F5-FFFA-4E8C-B377-72F67795A18A","276","","location","{}","","""Q33224""","International Convention Center","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P276]]: [[Q33224]]","2014-12-12 19:27:02+00","property_replacement","Dexbot"
38,"851046863","49087","Fisk University","Q49087$537A5882-B751-44CB-9AA8-23EC8BBAAC92","969","","street address","""1000 17th Ave North, Nashville, TN, 37208-4501""","","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */","2019-02-04 23:56:25+00","property_replacement","Fralambert"
38,"851046863","49087","Fisk University","Q49087$41A4CADA-6E54-4356-8E54-F02FD4713E85","6375","","street address","{}","","""1000 17th Ave North, Nashville, TN, 37208-4501""","","monolingualtext","CREATE","PROPERTY","/* wbeditentity-update:0| */","2019-02-04 23:56:25+00","property_replacement","Fralambert"
39,"210380398","53592","From the Earth to the Moon","q53592$5ec56387-4136-47fc-de0f-478a8913288a","392","","subtitle","""Trajet direct en 97 heures 20 minutes""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P392]]: Trajet direct en 97 heures 20 minutes","2015-04-12 15:51:41+00","property_replacement","PLbot"
39,"210376760","53592","From the Earth to the Moon","Q53592$0CAE9FBF-3EE0-49A4-B567-53E9BC28CA28","1680","","subtitle","{}","","""Trajet direct en 97 heures 20 minutes""","","monolingualtext","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P1680]]: Trajet direct en 97 heures 20 minutes","2015-04-12 15:38:41+00","property_replacement","PLbot"
